,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
52,0,2,2,1,8,0,2,3,0,0,0,0,6,0,0
53,5,2,0,5,9,2,3,3,0,0,0,0,5,0,0
54,1,2,2,1,8,0,2,3,0,1,0,0,7,0,0
55,1,2,1,1,8,0,4,4,0,1,0,0,5,0,0
56,8,2,2,0,12,2,3,0,0,1,0,0,5,0,0
57,1,2,2,0,12,0,10,3,0,0,0,0,6,4,0
58,5,1,2,1,8,0,10,0,0,0,0,0,7,0,0
59,2,2,3,5,9,0,5,0,0,0,0,0,6,0,0
60,1,2,1,0,12,0,3,0,2,1,0,0,6,0,0
61,10,0,1,0,12,1,3,1,0,0,0,0,6,0,1
62,5,0,1,10,14,1,3,1,0,0,0,0,11,0,0
63,1,4,1,5,9,4,11,0,0,0,0,0,9,0,0
64,4,2,1,5,9,1,3,1,0,0,0,0,7,0,1
65,5,1,2,0,12,1,5,1,0,0,0,0,7,0,0
66,5,2,2,1,8,0,8,0,0,0,0,0,6,0,0
67,7,2,2,5,9,1,9,2,0,1,0,0,6,0,1
68,4,2,0,0,12,1,1,1,0,0,2,0,10,0,1
69,5,2,1,10,14,2,3,0,0,1,0,0,6,0,1
70,4,2,2,5,9,2,9,4,0,1,0,0,7,0,0
71,3,2,2,9,10,1,8,1,0,0,0,0,6,13,0
72,5,2,0,3,13,0,1,0,0,1,0,0,7,0,0
73,12,2,1,1,8,0,0,0,0,1,0,0,6,0,1
74,3,2,2,1,8,1,4,2,1,1,0,0,6,0,0
75,2,2,1,1,8,1,8,1,0,0,0,0,7,0,0
76,7,2,0,1,8,1,10,1,0,0,0,0,6,0,1
77,3,2,1,5,9,0,0,4,4,1,0,0,6,0,0
78,4,2,1,5,9,1,1,1,0,0,0,0,7,0,0
79,0,2,2,1,8,2,9,4,0,1,0,0,8,0,0
80,4,1,0,1,8,1,10,1,0,0,0,0,9,0,0
81,8,2,3,1,8,1,6,1,1,0,0,0,6,0,0
82,2,2,0,1,8,0,8,3,0,0,0,0,6,0,0
83,1,2,1,0,12,0,5,3,0,0,0,0,6,0,0
84,6,2,1,1,8,1,6,1,0,0,0,0,13,0,1
85,2,2,4,9,10,2,3,4,0,1,0,0,5,0,0
86,4,2,1,1,8,0,1,0,2,1,0,0,5,37,0
87,7,1,1,5,9,1,1,2,0,1,0,0,4,0,0
88,6,2,1,1,8,1,1,2,0,1,0,0,6,0,0
89,1,2,0,5,9,3,0,4,0,1,0,0,3,0,0
90,7,1,1,0,12,1,1,1,0,0,0,0,6,39,1
91,1,1,2,1,8,0,3,4,0,1,15,0,6,21,1
92,5,2,1,0,12,1,1,1,0,0,0,6,6,0,1
93,7,4,3,8,15,1,3,1,0,0,0,0,7,0,1
94,3,5,1,0,12,1,5,3,0,0,0,0,7,0,1
95,5,5,0,10,14,1,1,1,0,0,15,0,6,0,1
96,3,2,4,0,12,1,5,1,1,0,2,0,7,0,1
97,7,1,0,5,9,1,10,1,0,0,0,0,6,0,0
98,1,2,1,1,8,0,8,0,0,0,0,0,7,0,0
99,15,1,1,10,14,1,3,1,0,0,3,0,7,0,1
100,2,2,2,9,10,1,3,2,0,1,0,0,5,0,1
101,10,2,1,11,2,6,4,5,2,1,0,0,2,11,0
102,7,4,1,3,13,2,1,0,0,1,0,0,6,0,0
103,1,2,3,1,8,1,6,1,0,0,0,0,7,0,0
104,8,2,0,7,3,1,10,1,0,0,0,0,6,20,0
105,10,4,2,1,8,2,0,0,0,1,0,0,2,0,1
106,4,2,4,0,12,1,4,1,0,0,0,0,5,4,0
107,0,2,1,5,9,0,4,5,0,0,0,0,2,0,0
108,2,2,2,5,9,1,8,1,0,0,0,0,6,0,0
109,8,0,0,0,12,2,0,0,0,0,1,0,6,0,1
110,9,1,5,5,9,1,5,1,1,0,0,0,9,0,1
111,7,2,2,0,12,1,10,1,0,0,0,0,3,0,1
112,2,4,0,1,8,0,4,3,1,0,0,0,4,0,0
113,0,2,1,1,8,0,0,4,2,1,0,0,2,0,0
114,6,2,0,3,13,0,9,0,0,0,0,0,5,0,1
115,0,2,1,5,9,0,8,5,1,0,0,0,4,0,0
116,4,2,0,0,12,1,5,1,0,0,0,0,7,0,1
117,5,0,1,0,12,1,11,1,0,0,0,0,8,0,0
118,7,4,1,1,8,1,11,1,0,0,0,0,8,0,1
119,6,2,2,2,6,1,10,1,0,0,0,0,6,0,0
120,2,2,1,5,9,1,7,1,0,0,0,0,6,0,0
121,4,2,2,1,8,1,10,1,0,0,1,0,6,0,1
122,0,2,0,5,9,0,5,0,0,1,0,0,4,0,0
123,10,1,1,0,12,1,5,1,0,0,0,0,6,0,1
124,5,2,1,2,6,1,10,1,0,0,0,0,7,4,0
125,2,2,1,1,8,0,8,0,0,1,0,0,6,0,0
126,5,4,1,0,12,1,3,1,0,0,0,0,7,0,0
127,3,2,1,1,8,1,2,1,0,0,0,0,6,0,0
128,3,2,2,0,12,1,3,1,0,0,0,0,7,0,0
129,5,2,0,0,12,1,0,1,0,0,0,0,6,0,1
130,6,3,3,5,9,1,10,1,0,0,0,0,6,0,1
131,2,2,1,1,8,1,5,1,0,0,0,0,7,0,0
132,3,3,2,1,8,0,10,3,0,0,0,0,6,0,0
133,3,5,1,1,8,1,1,1,2,0,0,0,13,18,1
134,2,2,1,9,10,0,0,3,0,1,0,0,6,0,0
135,12,5,0,0,12,1,7,1,0,0,1,0,6,0,1
136,2,2,2,1,8,1,10,1,0,0,0,0,7,0,0
137,7,3,1,5,9,0,0,0,0,0,0,0,6,0,0
138,0,2,2,5,9,0,5,5,0,1,0,0,3,0,0
139,3,2,3,1,8,4,4,4,1,1,0,0,6,0,0
140,4,2,1,5,9,1,5,1,0,0,0,0,7,0,1
141,9,4,2,5,9,1,3,2,0,1,0,0,3,8,0
142,5,2,0,10,14,0,1,0,0,0,0,0,9,0,1
143,0,2,1,1,8,0,4,0,0,1,0,0,5,0,0
144,4,1,0,5,9,1,4,2,0,1,0,0,2,0,1
145,2,2,1,5,9,0,6,3,0,0,0,0,3,0,0
146,3,2,1,3,13,1,1,1,0,0,0,7,7,0,1
147,4,2,0,1,8,0,2,0,0,0,0,0,7,0,0
148,2,2,1,5,9,0,5,3,0,0,0,0,6,0,0
149,6,2,2,5,9,0,10,3,0,0,0,0,6,0,0
150,8,1,2,0,12,2,5,0,0,0,0,0,9,8,1
151,2,2,1,5,9,0,9,0,0,1,0,0,6,0,0
152,8,2,1,5,9,0,4,0,0,1,0,0,6,0,0
153,7,2,1,5,9,1,1,1,0,0,0,0,7,0,1
154,8,2,1,1,8,2,0,0,0,1,0,0,6,8,0
155,1,2,4,1,8,0,10,0,0,0,0,0,7,0,0
156,0,2,2,5,9,0,4,3,0,1,0,6,3,0,0
157,8,3,1,5,9,0,0,4,0,0,0,0,6,0,0
158,1,0,1,5,9,1,11,1,0,0,0,0,6,0,0
159,5,2,1,1,8,1,8,1,1,0,0,0,6,0,0
160,5,2,2,1,8,1,10,1,0,0,0,6,6,0,1
161,0,0,1,5,9,0,7,3,0,0,0,0,1,0,0
162,2,0,0,1,8,1,10,1,0,0,0,0,6,0,0
163,8,2,2,12,5,1,6,1,0,0,0,6,6,0,1
164,4,2,3,0,12,4,3,4,0,1,0,0,7,0,1
165,1,2,2,1,8,0,13,3,0,0,0,0,6,0,0
166,3,2,1,1,8,0,8,0,1,1,0,0,6,0,0
167,0,2,1,1,8,0,10,3,0,1,0,0,6,0,0
168,0,2,3,5,9,0,10,0,0,0,0,0,6,0,0
169,4,2,0,5,9,1,1,1,0,0,0,0,6,0,1
170,3,2,1,5,9,1,2,1,0,0,0,0,6,0,0
171,5,2,1,5,9,1,0,2,0,1,0,0,6,21,0
172,4,2,1,0,12,0,1,0,0,0,0,0,9,0,0
173,1,4,1,0,12,0,0,3,2,1,0,0,7,0,0
174,7,4,2,0,12,2,3,4,1,1,0,0,6,0,0
175,6,2,0,5,9,1,8,1,0,0,0,0,6,0,0
176,1,2,1,5,9,0,3,0,4,1,0,0,5,0,0
177,0,2,5,1,8,0,11,3,1,0,0,0,6,0,0
178,5,3,1,5,9,1,0,2,0,1,0,0,6,0,0
179,5,2,1,0,12,4,1,0,0,0,0,0,6,0,0
180,1,2,4,1,8,1,8,1,0,0,0,0,6,0,0
181,6,1,2,1,8,1,10,1,0,0,0,0,6,9,0
182,9,2,1,12,5,2,8,0,0,1,0,0,6,0,0
183,3,2,5,11,2,0,8,0,0,0,0,0,7,4,0
184,5,2,2,0,12,0,3,0,1,0,0,0,6,0,0
185,8,4,2,3,13,1,3,2,1,1,0,6,6,0,1
186,4,2,1,5,9,2,10,3,0,0,0,0,9,12,0
187,2,5,1,1,8,0,10,0,0,0,0,0,6,0,0
188,8,2,2,1,8,1,10,1,0,0,0,5,6,0,0
189,1,2,1,0,12,0,5,0,0,1,0,0,6,0,0
190,8,1,0,12,5,1,10,1,0,0,0,0,6,0,0
191,0,2,3,5,9,0,5,3,0,1,0,0,6,0,0
192,1,2,1,1,8,0,10,3,0,0,0,0,6,0,0
193,4,2,4,14,7,2,10,3,0,0,0,0,5,0,0
194,0,2,1,2,6,0,4,3,0,1,0,0,2,0,0
195,7,2,2,12,5,2,8,4,0,1,0,0,6,0,0
196,7,2,2,3,13,1,1,2,0,1,2,0,9,0,1
197,5,1,0,1,8,1,7,1,0,0,0,0,9,0,0
198,1,2,1,0,12,1,1,1,0,0,0,0,6,0,0
199,2,2,0,2,6,2,5,3,0,0,0,0,6,0,0
200,1,2,1,1,8,0,0,0,1,0,0,0,6,0,0
201,0,2,1,5,9,0,5,3,0,1,0,0,5,0,0
202,0,2,4,5,9,0,5,3,0,0,0,0,3,0,0
203,2,0,2,5,9,2,0,4,1,0,0,0,6,0,0
204,3,2,3,5,9,1,5,1,0,0,0,0,6,0,0
205,1,2,0,5,9,0,5,3,0,1,0,0,6,0,0
206,2,1,2,1,8,1,10,1,0,0,0,0,9,0,0
207,5,2,1,1,8,1,1,1,0,0,0,0,9,0,0
208,2,2,3,8,15,0,3,3,0,0,0,0,3,0,0
209,0,2,1,1,8,0,8,3,0,0,0,0,6,0,0
210,6,1,1,0,12,2,3,0,0,0,0,0,7,23,0
211,1,2,1,1,8,0,0,3,1,1,0,0,6,0,0
212,0,2,0,5,9,0,8,3,0,1,0,0,3,0,0
213,1,2,2,12,5,0,2,3,1,0,0,5,6,0,0
214,1,2,2,5,9,3,10,5,1,1,0,0,5,21,0
215,2,2,2,1,8,2,4,4,0,1,0,0,6,0,0
216,6,2,1,1,8,1,1,1,0,0,0,0,9,0,0
217,0,2,0,5,9,0,4,3,0,0,0,0,3,0,0
218,4,2,2,1,8,2,2,0,0,0,0,0,6,0,0
219,0,2,1,14,7,0,5,3,0,1,0,0,1,0,0
220,4,1,1,5,9,1,5,1,0,0,1,0,12,0,1
221,6,2,1,0,12,1,1,1,0,0,0,0,9,0,1
222,4,2,1,0,12,1,3,1,2,0,0,0,8,28,1
223,4,2,1,3,13,0,3,0,0,1,0,0,6,0,0
224,3,2,0,1,8,1,10,1,0,0,0,0,6,0,0
225,8,2,0,1,8,1,4,5,2,0,0,0,6,11,0
226,1,2,4,1,8,3,5,0,0,0,0,0,8,0,0
227,8,4,2,1,8,1,10,1,0,0,0,0,6,0,0
228,7,2,1,0,12,1,1,1,1,0,0,0,6,0,0
229,1,2,1,0,12,0,5,3,2,0,0,0,6,36,0
230,5,0,1,1,8,1,10,1,0,0,0,0,6,0,0
231,0,2,1,5,9,0,0,3,0,0,0,0,6,0,0
232,7,4,1,3,13,0,3,3,0,0,0,0,6,0,0
233,5,2,1,9,10,2,5,0,0,0,2,0,7,0,1
234,5,3,3,6,11,4,3,4,0,1,0,0,6,0,1
235,6,0,1,10,14,2,3,4,1,0,4,0,5,0,1
236,4,2,2,4,4,1,10,1,0,0,0,0,6,0,0
237,1,2,1,12,5,1,10,5,0,0,0,0,7,0,0
238,5,4,1,0,12,1,11,1,0,0,0,6,6,0,1
239,3,2,1,14,7,0,5,3,0,1,0,0,5,0,0
240,5,1,4,5,9,1,5,1,0,0,1,0,7,4,1
241,7,2,0,3,13,1,3,1,0,0,0,6,6,0,0
242,15,1,2,2,6,1,7,1,0,0,1,0,6,0,1
243,3,2,0,5,9,0,10,0,0,0,0,0,7,0,0
244,7,5,0,3,13,1,5,1,0,0,0,0,8,0,0
245,7,2,0,5,9,1,1,1,0,0,0,6,6,0,1
246,8,0,3,5,9,2,0,0,0,0,0,0,6,0,0
247,0,2,1,2,6,0,4,3,0,1,0,0,1,0,0
248,4,1,1,1,8,1,5,1,0,0,0,0,6,0,0
249,0,2,1,14,7,0,4,3,0,1,0,0,2,0,0
250,1,2,2,1,8,1,2,1,0,0,0,0,7,0,0
251,0,2,1,12,5,0,7,3,0,0,0,0,4,0,0
252,7,4,2,5,9,1,11,1,0,0,1,0,6,0,1
253,5,2,1,12,5,1,8,1,0,0,0,0,6,0,0
254,5,2,2,1,8,1,10,1,0,0,1,0,6,0,1
255,4,2,1,3,13,0,5,0,0,0,0,0,7,0,1
256,5,1,1,3,13,2,1,4,0,1,0,0,11,0,0
257,6,2,2,5,9,1,3,1,0,0,1,0,6,0,1
258,4,2,7,0,12,2,1,0,0,0,0,0,8,0,1
259,0,2,1,14,7,0,7,0,0,0,0,0,6,0,0
260,6,2,1,0,12,2,8,4,4,1,0,0,6,5,0
261,5,2,3,0,12,3,6,0,0,0,0,0,9,0,0
262,3,0,2,5,9,2,11,4,0,1,0,6,6,0,0
263,6,2,2,1,8,1,10,1,0,0,0,0,7,0,0
264,9,0,1,10,14,1,3,1,0,0,0,6,6,0,1
265,2,2,1,5,9,2,8,0,0,0,0,0,7,0,0
266,0,2,1,2,6,0,2,3,0,0,0,0,2,0,0
267,3,2,1,1,8,2,8,0,0,1,0,0,6,0,0
268,1,2,2,5,9,0,4,3,0,1,0,0,4,0,0
269,3,2,1,1,8,0,8,0,0,0,0,0,7,0,0
270,4,2,1,0,12,1,3,2,0,1,0,0,2,0,1
271,2,2,1,9,10,1,3,1,0,0,0,0,6,0,0
272,2,2,1,1,8,1,10,1,0,0,0,0,11,0,0
273,6,2,4,9,10,1,10,1,0,0,0,0,6,0,1
274,3,2,1,0,12,1,5,1,0,0,0,0,6,0,1
275,10,1,0,5,9,6,1,0,0,0,0,0,5,0,0
276,1,2,1,0,12,0,3,0,0,0,0,0,5,0,0
277,1,2,1,0,12,0,4,0,0,0,0,0,6,0,0
278,3,4,0,3,13,2,0,4,0,1,0,0,6,0,0
279,3,2,3,2,6,2,2,0,0,0,0,0,6,0,0
280,4,2,0,1,8,1,0,1,0,0,0,0,6,0,0
281,8,2,2,1,8,2,1,0,0,1,0,0,6,0,0
282,8,2,1,1,8,2,6,0,0,0,0,0,8,0,1
283,4,2,2,0,12,2,1,4,0,0,0,0,7,0,0
284,4,2,2,7,3,1,8,1,1,0,1,0,5,19,1
285,1,2,1,5,9,0,4,3,0,0,0,0,5,0,1
286,6,1,3,0,12,1,3,2,0,1,0,0,3,0,1
287,3,4,0,1,8,0,6,3,0,0,0,0,6,0,0
288,0,2,0,5,9,0,9,3,0,0,0,0,6,0,0
289,0,0,1,5,9,0,0,3,0,0,0,0,1,0,0
290,4,2,1,3,13,1,0,1,0,0,0,7,6,28,1
291,6,2,1,1,8,0,0,3,1,1,0,0,6,0,0
292,11,1,1,1,8,6,0,0,0,1,0,0,5,0,0
293,4,4,2,10,14,2,3,4,0,1,0,0,3,9,0
294,3,2,2,2,6,1,7,1,0,0,0,0,6,0,0
295,4,2,2,9,10,1,10,1,0,0,0,0,7,0,0
296,0,2,2,4,4,0,4,0,0,0,0,0,0,0,0
297,8,5,1,1,8,1,0,1,0,0,0,0,7,0,0
298,0,2,2,5,9,0,2,3,0,0,0,0,6,0,0
299,1,2,1,12,5,0,10,0,0,0,0,0,4,0,0
300,3,2,2,5,9,1,1,1,0,0,0,0,8,0,1
301,4,2,1,5,9,1,7,1,0,0,0,0,7,0,0
302,5,2,1,5,9,0,0,0,0,0,0,0,6,0,0
303,3,4,0,5,9,1,4,1,0,0,0,0,6,0,0
304,3,2,1,9,10,1,10,1,0,0,0,0,6,0,0
305,5,0,1,0,12,0,3,0,0,0,0,0,6,0,0
306,2,2,0,0,12,0,3,0,0,0,0,0,7,0,0
307,7,2,2,9,10,1,9,1,0,0,0,0,6,0,1
308,6,2,1,2,6,1,8,1,0,0,0,0,6,0,0
309,8,1,1,1,8,1,5,1,0,0,0,0,7,0,0
310,7,2,0,1,8,1,2,1,0,0,0,0,7,0,0
311,1,2,0,0,12,0,3,0,0,0,0,0,7,0,0
312,3,2,4,5,9,2,5,0,0,0,0,0,7,0,0
313,3,2,4,1,8,3,4,4,0,1,0,0,8,0,0
314,2,2,2,1,8,0,8,3,0,1,0,0,6,0,0
315,7,2,1,3,13,0,3,0,0,0,0,0,6,0,0
316,1,2,3,5,9,0,5,3,0,1,0,0,3,0,0
317,3,2,1,0,12,0,3,0,0,1,0,0,11,0,1
318,2,2,2,5,9,0,5,3,0,0,0,0,4,0,0
319,0,2,1,4,4,0,10,3,0,0,0,0,6,0,0
320,5,2,1,1,8,0,8,0,0,0,0,0,6,0,0
321,6,2,3,5,9,4,0,4,0,1,0,0,4,0,0
322,4,2,2,6,11,0,3,0,0,0,0,0,5,0,0
323,4,2,1,1,8,1,10,1,0,0,0,0,6,0,0
324,5,2,3,7,3,1,10,1,0,0,0,0,6,0,0
325,2,2,1,0,12,0,1,0,0,1,0,0,6,0,0
326,3,2,0,5,9,1,3,1,0,0,0,0,6,0,1
327,3,2,2,0,12,0,3,0,0,0,0,0,7,0,1
328,6,1,2,3,13,1,3,1,0,0,0,0,6,0,1
329,3,2,0,0,12,3,1,4,0,1,0,0,6,0,0
330,4,2,2,10,14,2,1,0,0,0,0,0,7,0,0
331,5,4,1,0,12,2,3,4,1,1,0,0,4,0,0
332,7,2,0,3,13,1,1,1,0,0,0,0,6,0,1
333,2,1,1,4,4,1,10,1,0,0,0,0,6,0,0
334,0,2,1,1,8,0,4,3,1,0,0,0,4,0,0
335,8,2,2,1,8,1,8,1,0,0,0,0,6,0,0
336,4,3,2,6,11,1,0,2,0,1,0,0,6,0,1
337,1,2,1,0,12,0,1,3,0,0,0,0,8,0,0
338,9,1,0,1,8,1,0,2,0,1,0,0,5,0,0
339,3,2,0,1,8,1,2,1,0,0,0,0,7,0,0
340,6,2,1,10,14,2,3,4,0,1,0,0,6,0,0
341,1,2,1,0,12,0,3,0,0,1,0,0,5,0,0
342,1,2,0,1,8,1,9,1,0,0,0,0,6,0,0
343,12,1,3,1,8,1,7,1,2,0,0,0,2,0,0
344,6,1,2,5,9,1,3,1,4,0,0,0,8,0,1
345,2,2,1,0,12,1,5,1,0,0,0,0,6,0,1
346,4,2,1,9,10,1,1,2,0,1,1,0,8,0,1
347,8,1,1,1,8,1,10,1,0,0,0,0,3,0,0
348,7,2,0,0,12,1,5,1,0,0,0,0,9,0,0
349,5,4,0,0,12,2,3,4,0,1,0,0,7,0,0
350,4,2,3,5,9,1,5,1,0,0,0,0,9,0,0
351,2,1,0,4,4,6,4,4,0,1,0,0,4,0,0
352,5,2,2,1,8,0,1,0,0,0,0,5,8,7,1
353,0,2,1,2,6,0,2,0,0,0,0,0,6,0,0
354,4,2,1,0,12,0,3,0,0,0,0,0,6,0,1
355,6,2,0,1,8,2,0,0,0,1,0,0,6,0,0
356,4,4,1,0,12,1,3,2,0,1,0,0,6,0,0
357,7,2,2,9,10,2,5,4,0,1,0,0,6,0,0
358,4,0,1,6,11,2,3,4,0,1,0,0,6,0,0
359,4,0,1,8,15,0,3,0,1,1,0,0,4,0,0
360,1,2,1,1,8,0,10,0,0,0,0,0,6,5,0
361,7,0,3,3,13,2,3,4,0,1,0,6,7,0,0
362,5,2,0,0,12,4,3,4,0,0,0,0,7,0,0
363,4,3,0,0,12,2,1,4,1,1,0,0,6,0,0
364,0,2,1,5,9,0,5,3,0,1,0,0,2,0,0
365,2,2,0,12,5,0,4,4,0,1,0,0,2,0,0
366,1,3,0,10,14,0,3,0,2,1,0,0,3,27,0
367,0,2,3,1,8,0,0,3,0,1,0,0,2,0,0
368,1,2,0,5,9,0,4,3,0,0,0,0,4,0,0
369,8,4,0,8,15,2,3,0,0,1,0,6,6,0,0
370,3,1,2,1,8,1,1,1,0,0,0,0,7,0,1
371,5,3,2,5,9,2,0,4,1,0,0,0,6,0,0
372,4,2,2,1,8,2,8,0,0,0,0,0,6,0,0
373,4,2,2,0,12,2,5,4,0,0,0,0,7,0,1
374,7,2,1,9,10,4,3,4,0,1,0,0,6,0,0
375,5,1,0,5,9,1,7,1,0,0,0,0,12,0,0
376,10,2,5,5,9,1,1,1,0,0,0,0,5,0,1
377,1,2,1,1,8,4,8,4,4,1,0,0,6,0,0
378,0,2,1,2,6,0,2,3,0,0,0,0,2,0,0
379,5,2,1,0,12,1,0,1,0,0,0,0,6,0,1
380,5,2,1,0,12,2,1,0,0,0,0,0,6,0,0
381,2,1,0,1,8,0,10,0,0,0,0,0,6,0,0
382,3,2,2,0,12,1,3,1,0,0,0,0,6,0,1
383,7,3,1,1,8,0,0,0,0,0,0,0,7,0,1
384,1,2,4,0,12,0,1,5,0,1,0,0,6,0,0
385,5,2,0,5,9,2,0,4,0,1,0,0,6,0,0
386,1,2,1,6,11,0,3,0,0,1,0,0,5,0,0
387,9,2,2,1,8,1,8,1,0,0,0,0,6,0,0
388,3,2,2,0,12,1,0,2,0,1,0,0,6,0,0
389,4,2,2,1,8,1,8,1,0,0,0,0,7,0,1
390,2,2,1,9,10,1,3,1,0,0,0,0,8,0,1
391,3,2,1,1,8,1,5,1,0,0,0,0,6,0,1
392,1,2,2,5,9,1,8,1,0,0,0,0,6,0,0
393,1,2,1,1,8,4,4,4,0,1,0,0,3,0,0
394,8,2,2,14,7,2,6,4,1,0,0,0,7,0,1
395,4,2,4,0,12,0,3,3,0,1,0,0,5,0,1
396,8,1,1,9,10,3,5,0,0,0,0,0,7,0,0
397,0,2,4,1,8,0,7,3,0,0,0,0,3,0,0
398,5,2,2,1,8,0,2,0,1,0,0,0,5,0,0
399,0,2,3,2,6,0,5,3,0,1,0,0,3,0,0
400,3,2,3,5,9,0,0,0,0,1,0,0,8,0,0
401,2,2,0,5,9,4,0,0,0,1,0,0,6,0,0
402,1,2,1,0,12,0,4,0,0,1,0,0,6,0,0
403,1,2,4,0,12,0,4,0,0,0,0,0,6,0,0
404,1,2,2,5,9,0,9,3,0,1,0,0,3,0,0
405,1,2,0,0,12,4,1,0,0,1,0,0,6,0,0
406,3,2,0,5,9,1,10,1,0,0,0,0,9,0,0
407,7,2,1,1,8,1,6,1,0,0,0,0,11,0,0
408,1,2,5,5,9,0,4,3,1,0,0,0,12,0,0
409,8,2,0,8,15,1,1,1,0,0,0,0,9,0,1
410,6,2,1,4,4,1,0,1,1,0,0,0,6,0,1
411,5,2,2,1,8,1,6,1,0,0,0,0,6,0,0
412,0,2,1,1,8,0,5,3,0,1,0,0,6,0,0
413,6,2,2,2,6,4,4,0,1,1,0,0,5,0,0
414,2,2,2,5,9,1,8,1,0,0,0,0,6,0,1
415,7,2,3,8,15,1,3,1,0,0,2,0,9,10,1
416,3,2,2,2,6,0,6,4,0,0,0,0,6,0,0
417,0,2,0,1,8,0,4,3,0,0,0,0,5,0,0
418,5,1,2,10,14,1,3,1,0,0,0,7,9,0,1
419,5,2,2,0,12,1,9,1,0,0,0,0,6,0,1
420,6,2,0,9,10,2,1,0,0,0,0,0,6,0,1
421,3,2,1,3,13,1,3,1,0,0,0,0,6,0,1
422,0,2,0,14,7,2,4,0,0,1,0,0,1,0,0
423,8,2,2,5,9,2,10,4,0,1,0,0,7,0,0
424,7,2,3,0,12,1,1,1,0,0,0,0,7,0,1
425,1,2,1,1,8,0,5,3,0,0,0,0,6,0,0
426,1,2,3,9,10,0,4,3,0,0,0,0,3,0,0
427,8,4,1,5,9,1,2,1,1,0,1,0,6,0,1
428,9,1,0,5,9,1,1,1,0,0,0,0,6,0,1
429,0,2,1,5,9,0,5,3,0,1,0,0,5,0,0
430,4,2,2,0,12,1,1,1,0,0,0,7,6,0,1
431,2,2,0,0,12,0,5,0,0,1,0,0,6,0,0
432,6,2,2,3,13,1,3,1,0,0,0,0,7,0,1
433,4,4,0,1,8,1,11,1,0,0,0,0,8,0,0
434,2,2,2,2,6,2,5,3,0,0,0,0,6,0,0
